,0
0,183090.0
1,292236.7
2,71420.0
3,170426.66666666666
4,64453.333333333336
5,190570.0
6,95580.0
7,114326.66666666667
8,147733.33333333334
9,75410.0
10,206243.33333333334
11,254980.0
12,204283.33333333334
13,211983.33333333334
14,232233.33333333334
15,99386.66666666667
16,103946.66666666667
17,173183.33333333334
18,231266.66666666666
19,413710.43333333335
20,181236.66666666666
21,206683.36666666667
22,60966.666666666664
23,406643.73333333334
24,233630.0
25,97970.0
26,227493.33333333334
27,180326.7
28,80133.33333333333
30,61443.333333333336
31,260663.33333333334
32,202836.66666666666
33,192840.0
34,119626.66666666667
35,108273.33333333333
36,110683.33333333333
37,134153.33333333334
38,272730.0333333333
39,179830.0
40,161810.0
41,118053.33333333333
42,235356.66666666666
43,246746.66666666666
44,229593.33333333334
45,220980.03333333333
46,276680.0
47,245770.0
48,73500.0
49,123733.33333333333
50,221516.66666666666
51,426663.6666666667
52,219700.0
53,335830.1
54,106256.66666666667
55,326100.0333333333
56,237803.36666666667
57,191880.0
58,359276.73333333334
59,162510.0
60,198946.66666666666
61,232533.36666666667
62,321163.43333333335
63,286440.0
64,189976.66666666666
65,379316.8
66,157060.0
67,89980.0
68,101073.33333333333
69,162316.66666666666
70,116996.66666666667
71,223900.03333333333
72,109423.33333333333
73,234176.66666666666
74,150450.0
75,242886.76666666666
76,125196.66666666667
77,127673.33333333333
78,178113.33333333334
79,190670.0
80,88896.66666666667
81,111946.66666666667
82,240253.33333333334
83,104196.66666666667
84,271450.06666666665
85,116820.0
86,153856.66666666666
87,273510.0333333333
88,142410.0
89,129540.0
90,132860.0
91,189970.0
92,242326.63333333333
93,155156.66666666666
94,308433.43333333335
95,332036.7
96,287453.3333333333
97,403140.3333333333
98,197666.66666666666
99,296673.4
100,265356.6666666667
101,66503.33333333333
102,232353.33333333334
103,286256.6666666667
104,117596.66666666667
105,191853.33333333334
106,177250.0
107,103453.33333333333
108,262706.6666666667
109,65860.0
110,123949.96666666666
111,191306.66666666666
112,165100.0
113,118616.66666666667
114,80343.33333333333
115,271583.4666666667
116,229653.43333333332
117,231430.0
118,90423.33333333333
119,319503.36666666664
120,298623.43333333335
121,149366.66666666666
122,257030.0
123,194040.0
124,145953.33333333334
125,314900.13333333336
126,77116.66666666667
127,113580.0
128,73476.66666666667
129,163990.0
130,144006.66666666666
131,340000.0
132,200866.66666666666
133,283696.7
134,188323.33333333334
135,189836.66666666666
136,81470.0
137,141656.66666666666
138,143823.33333333334
139,178263.33333333334
140,310863.43333333335
141,116306.66666666667
142,203390.0
143,262863.3333333333
144,225790.06666666668
145,179663.36666666667
146,201860.0
147,257963.36666666667
148,247250.03333333333
149,349016.73333333334
150,247630.0
151,188046.66666666666
152,161080.0
153,178676.66666666666
154,219083.33333333334
155,58790.0
156,210050.0
157,263513.3333333333
158,70493.33333333333
159,82280.0
160,138380.0
161,142263.3
162,268613.3333333333
163,75780.0
164,200820.0
165,207273.33333333334
166,370170.26666666666
167,220090.03333333333
168,106240.0
169,82786.66666666667
170,351176.7
171,216733.33333333334
172,331776.76666666666
173,245393.33333333334
174,218206.66666666666
175,366390.13333333336
176,83146.66666666667
177,274810.0
178,185200.0
179,244676.66666666666
180,282383.36666666664
181,371416.86666666664
182,72056.66666666667
183,224526.66666666666
184,203290.03333333333
185,189636.66666666666
186,193320.0
187,214843.33333333334
188,217783.33333333334
189,147346.66666666666
190,106380.0
191,114893.33333333333
192,204356.66666666666
193,141143.33333333334
194,188690.0
195,119776.66666666667
196,223023.4
197,213130.0
198,311590.0333333333
